#,Building Name,City,Country,Height (m),Completed,Use
1,Shanghai Tower,Shanghai ,China,632,2015,hotel / office
2,Canton Tower,Guangzhou ,China,604,2010,telecommunications / observation
3,Ping An Finance Center,Shenzhen ,China,599.1,2016,office
4,Guangzhou CTF Finance Centre,Guangzhou ,China,530,2016,hotel / residential / office
5,Shanghai World Financial Center,Shanghai ,China,492,2008,hotel / office
6,International Commerce Centre,Hong Kong ,China,484,2010,hotel / office
7,Oriental Pearl Television Tower,Shanghai ,China,468,1995,telecommunications / observation
8,Zifeng Tower,Nanjing ,China,450,2010,hotel / office
9,KK100,Shenzhen ,China,441.8,2011,hotel / office
10,Guangzhou International Finance Center,Guangzhou ,China,438.6,2010,hotel / office
11,Jin Mao Tower,Shanghai ,China,420.5,1999,hotel / office
12,Tianjin Radio & TV Tower,Tianjin ,China,415.1,1991,telecommunications / observation
13,Two International Finance Centre,Hong Kong ,China,412,2003,office
14,Central Radio & TV Tower,Beijing ,China,410.5,1992,telecommunications / observation
15,CITIC Plaza,Guangzhou ,China,390.2,1996,office
16,Henan Province Radio & Television Tower,Zhengzhou ,China,388,2011,telecommunications / observation
17,Shun Hing Square,Shenzhen ,China,384,1996,office
18,Eton Place Dalian Tower 1,Dalian ,China,383.2,2016,hotel / office
19,Central Plaza,Hong Kong ,China,373.9,1992,office
20,Bank of China Tower,Hong Kong ,China,367.4,1990,office
21,Forum 66 Tower 1,Shenyang ,China,350.6,2015,hotel / office
22,The Pinnacle,Guangzhou ,China,350.3,2012,office
23,The Center,Hong Kong ,China,346,1998,office
24,Wuxi International Finance Square,Wuxi ,China,339,2014,hotel / office
25,West Pearl Tower,Chengdu ,China,339,2004,telecommunications / observation
26,Chongqing World Financial Center,Chongqing ,China,338.9,2015,hotel / office
27,Tianjin Modern City Office Tower,Tianjin ,China,338,2016,office
28,Macau Tower,Macau ,China,338,2001,telecommunications / observation
29,Tianjin World Financial Center,Tianjin ,China,336.9,2011,office
30,Dragon Tower,Harbin ,China,336,2000,telecommunications / observation
31,Shimao International Plaza,Shanghai ,China,333.3,2006,hotel / office / retail
32,Minsheng Bank Building,Wuhan ,China,331,2008,office
33,China World Tower,Beijing ,China,330,2010,hotel / office
34,Huai`an TV Tower,Huaiyin ,China,330,2016,telecommunications / observation
35,Longxi International Hotel,Jiangyin ,China,328,2011,residential / hotel
36,Wuxi Suning Plaza 1,Wuxi ,China,328,2014,hotel / serviced apartments / office
37,Linyi Radio & TV Tower,Linyi ,China,326,2010,telecommunications / observation
38,Deji Plaza,Nanjing ,China,324,2013,hotel / office
39,Wenzhou Trade Center,Wenzhou ,China,321.9,2011,hotel / office
40,Nina Tower,Hong Kong ,China,320.4,2006,hotel / office
41,Global City Square,Guangzhou ,China,318.9,2016,office
42,Fanya International Finance Building North,Kunming ,China,317.8,2016,office
43,Fanya International Finance Building South,Kunming ,China,317.8,2016,office
44,Chongqing IFS T1,Chongqing ,China,316.3,2016,hotel / office
45,Nanjing International Youth Cultural Centre Tower 1,Nanjing ,China,314.5,2015,hotel / office
46,Moi Center Tower A,Shenyang ,China,311,2014,hotel / office
47,Nanjing TV Tower,Nanjing ,China,310.1,1996,telecommunications
48,Pearl River Tower,Guangzhou ,China,309.4,2013,office
49,Fortune Center,Guangzhou ,China,309.4,2015,office
50,East Pacific Center Tower A,Shenzhen ,China,306,2013,residential
51,Liaoning TV Tower,Shenyang ,China,305.5,1984,telecommunications / observation
52,Shenzhen CFC Changfu Centre,Shenzhen ,China,304.3,2015,office
53,Wuxi Maoye City - Marriott Hotel,Wuxi ,China,303.8,2014,hotel
54,Diwang International Fortune Center,Liuzhou ,China,303,2015,office / hotel
55,Greenland Puli Center,Jinan ,China,303,2014,office
56,"Jiangxi Nanchang Greenland Central Plaza, Parcel A",Nanchang ,China,303,2015,office
56,"Jiangxi Nanchang Greenland Central Plaza, Parcel B",Nanchang ,China,303,2015,office
58,Leatop Plaza,Guangzhou ,China,302.7,2012,office
59,Gate to the East,Suzhou ,China,301.8,2015,residential / hotel / office
60,Shenzhen Zhongzhou Holdings Financial Center,Shenzhen ,China,300.8,2015,hotel / office
61,One Island East,Hong Kong ,China,298.1,2008,office
62,R&F Yingkai Square,Guangzhou ,China,296.2,2014,residential / hotel / office
63,Xiamen Shimao Straits Tower B,Xiamen ,China,295.3,2015,office
64,Riverfront Times Square,Shenzhen ,China,293,2016,hotel / office
65,Shennong Tower,Zhuzhou ,China,293,1998,telecommunications / observation
66,SEG Plaza,Shenzhen ,China,291.6,2000,office
67,Dongguan TBA Tower,Dongguan ,China,289,2013,hotel / office
68,China Chuneng Tower,Shenzhen ,China,288.6,2016,office
69,Plaza 66,Shanghai ,China,288.2,2001,office
70,Kaisa Center,Huizhou ,China,288,2015,hotel / office
71,Yingli International Finance Centre,Chongqing ,China,288,2012,office
72,Shaoxing Shimao Crowne Plaza,Shaoxing ,China,288,2012,hotel / office
73,Soochow International Plaza East Tower,Huzhou ,China,288,2014,hotel / office
73,Soochow International Plaza West Tower,Huzhou ,China,288,2014,residential
75,United International Mansion,Chongqing ,China,287,2013,office
76,HNA&POLY International Centre,Chongqing ,China,286.8,2013,office / hotel / retail
77,Tomorrow Square,Shanghai ,China,284.6,2003,residential / hotel / office
78,Chongqing World Trade Center,Chongqing ,China,283.1,2005,office
79,Cheung Kong Centre,Hong Kong ,China,282.8,1999,office
80,GT Land Landmark Plaza South Tower,Guangzhou ,China,282.8,2016,residential / hotel
81,Suzhou RunHua Global Building A,Suzhou ,China,282,2010,office
82,Excellence Century Plaza Tower 1,Shenzhen ,China,280,2010,office
83,Zhengzhou Greenland Plaza,Zhengzhou ,China,280,2014,hotel / office
84,Shijiazhuang TV Tower,Shijiazhuang ,China,280,1998,telecommunications
85,Eton Place Dalian Tower 2,Dalian ,China,279.5,2015,residential / office
86,Hong Kong New World Tower,Shanghai ,China,278.3,2004,hotel / office / retail
87,Central Plains Pearl TV Tower,Luoyang ,China,278,1998,telecommunications / observation
88,Diwang International Commerce Center,Nanning ,China,276,2006,hotel / office
89,Riverside Century Plaza Main Tower,Wuhu ,China,275,2015,hotel / office
90,Nantong Zhongnan International Plaza,Nantong ,China,273.3,2011,residential / office
91,Wuhan World Trade Tower,Wuhan ,China,273,1998,office
92,NEO Tower A,Shenzhen ,China,273,2011,office
92,Shimao International Center Office Tower,Fuzhou ,China,273,2013,office
94,Shanghai Wheelock Square,Shanghai ,China,270.5,2010,office
95,Tianhui Plaza C3,Guangzhou ,China,270,2016,office
96,Greenland Center Tower 1,Xi’an ,China,270,2016,office
97,Bohai Bank Tower,Tianjin ,China,270,2015,office
98,The Cullinan I,Hong Kong ,China,269.9,2008,residential
98,The Cullinan II,Hong Kong ,China,269.9,2008,residential / hotel
100,Huayuan Center Tower 7,Changsha ,China,269.7,2016,office
101,China International Center Tower B,Guangzhou ,China,269.5,2007,office
102,Dapeng International Plaza,Guangzhou ,China,269.4,2007,office
103,One Lujiazui,Shanghai ,China,269.1,2008,office
104,Tongde Kunming Plaza,Kunming ,China,269,2015,hotel / office
105,Suzhou Center,Suzhou ,China,268,2013,hotel / office
106,Kaifeng TV Tower,Kaifeng ,China,268,1995,telecommunications
107,Jiangxi Nanchang Greenland Zifeng Tower,Nanchang ,China,268,2015,hotel / office
108,Bank of Guangzhou Tower,Guangzhou ,China,267.8,2012,office
109,Fortune Financial Center,Beijing ,China,267,2014,office
110,Changzhou Modern Media Center,Changzhou ,China,265.1,2013,residential / hotel / office
111,Hongren Fortune Center,Wuhan ,China,264.7,2016,office
112,PTJ International Finance Center,Wuhan ,China,264,2014,hotel / office
113,Financial Street Heping Center,Tianjin ,China,263,2016,office
114,Ningbo Global Shipping Plaza,Ningbo ,China,262.4,2015,office
115,Oriental Plaza T1,Chongqing ,China,262,2016,hotel / office / retail
116,Xinglin Bay Business Tower,Xiamen ,China,261.9,2016,office
117,66 Tower 1,Shanghai ,China,261.8,2005,office
117,66 Tower 2,Shanghai ,China,261.8,2005,office
119,East Pacific Center Tower B,Shenzhen ,China,261,2013,residential
120,Guangdong Telecom Plaza,Guangzhou ,China,260,2002,office
121,SunnyWorld Center,Shenyang ,China,260,2014,hotel / office
122,Jing An Kerry Centre Tower 2,Shanghai ,China,260,2013,hotel / office
123,Yuyang Tower,Fuzhou ,China,260,2014,office
124,Beijing Greenland Center,Beijing ,China,260,2016,residential / office
125,Shenzhen Special Zone Daily Tower,Shenzhen ,China,260,1998,office
126,Daqing Radio & Television Tower,Daqing ,China,260,1989,telecommunications
127,Shanghai IFC North Tower,Shanghai ,China,259.9,2010,office
128,Lanko Grand Hyatt Hotel,Chongqing ,China,258,2005,hotel / retail
129,Heilan Fortune Center,Jiangyin ,China,258,2015,office
130,Lanko Conference & Exhibition International Plaza Yage,Chongqing ,China,258,2010,office / retail
131,The Metropolitan Office Tower,Tianjin ,China,258,2013,office
132,Zhe Jiang Fortune Financial Center - Tower 1,Hangzhou ,China,258,2011,office
133,Grand Parkray Hangzhou Hotel Tower 1,Hangzhou ,China,258,2013,hotel
134,Grand Lisboa,Macau ,China,258,2008,hotel / casino
135,The Masterpiece,Hong Kong ,China,257,2009,residential / hotel
136,Sorrento 1,Hong Kong ,China,256.4,2003,residential
137,Corporate Avenue 2,Chongqing ,China,255.8,2014,office
138,New Century Plaza Tower 1,Nanjing ,China,255.2,2006,office
139,Langham Place Office Tower,Hong Kong ,China,255.1,2004,office
140,Nanjing International Youth Cultural Centre Tower 2,Nanjing ,China,255,2015,hotel
141,Wenzhou Zhixin Plaza,Wenzhou ,China,255,2016,hotel / office
