year,cumulative,hotel,office,residential
1912,3,0,2,0
1913,5,0,4,0
1914,7,0,6,1
1915,9,1,7,1
1916,10,1,8,1
1917,11,1,9,1
1918,11,1,9,1
1919,12,1,10,1
1920,12,1,10,1
1921,12,1,10,1
1922,13,1,11,1
1923,13,1,11,1
1924,17,1,15,1
1925,19,2,16,2
1926,24,3,19,3
1927,40,5,32,4
1928,54,7,43,6
1929,71,10,53,10
1930,87,12,65,13
1931,111,15,83,17
1932,118,15,89,17
1933,119,15,90,17
1934,120,15,91,17
1935,121,15,92,17
1936,123,15,92,17
1937,125,15,93,17
1938,125,15,93,17
1939,126,15,93,17
1940,126,15,93,17
1941,126,15,93,17
1942,126,15,93,17
1943,127,15,94,17
1944,127,15,94,17
1945,127,15,94,17
1946,127,15,94,17
1947,127,15,94,17
1948,127,15,94,17
1949,129,15,96,17
1950,131,15,98,17
1951,132,15,99,17
1952,132,15,99,17
1953,133,15,100,17
1954,134,15,101,17
1955,135,15,102,17
1956,136,15,103,17
1957,137,15,104,17
1958,139,15,106,17
1959,141,16,107,17
1960,143,16,109,17
1961,147,16,113,17
1962,154,17,117,17
1963,158,17,121,17
1964,169,17,129,20
1965,177,17,135,20
1966,179,17,137,20
1967,190,17,145,22
1968,199,17,151,23
1969,211,17,163,24
1970,223,18,174,25
1971,237,19,184,28
1972,257,19,204,28
1973,271,19,216,30
1974,285,19,229,31
1975,296,20,236,36
1976,310,22,248,38
1977,316,23,250,41
1978,318,23,251,41
1979,322,23,255,41
1980,331,24,262,42
1981,337,25,268,42
1982,352,25,281,44
1983,374,25,301,47
1984,387,25,313,47
1985,403,27,323,52
1986,424,28,338,61
1987,437,29,350,63
1988,450,30,359,66
1989,463,33,369,68
1990,487,36,387,73
1991,501,37,395,78
1992,518,39,409,79
1993,520,40,410,79
1994,520,40,410,79
1995,522,40,412,79
1996,525,40,414,79
1997,527,40,414,81
1998,531,40,414,84
1999,539,40,416,90
2000,547,41,419,95
2001,565,44,425,106
2002,581,48,431,111
2003,602,51,441,122
2004,624,53,450,139
2005,645,58,455,153
2006,663,61,459,165
2007,699,66,463,194
2008,748,73,470,236
2009,789,85,475,270
2010,830,98,484,296
2011,840,99,489,302
2012,847,100,492,306
2013,859,102,495,315
2014,874,103,497,328
2015,898,107,499,348
2016,900,107,500,349
