current,height,name,city,state,latitude,longitude,abandoned,is completed,completed.year,air traffic control tower,belltower,bridge,casino,commercial,education,exhibition,floors above,government,hospital,hotel,industrial,library,museum,observation,office,other,rank,religious,residential,retail,serviced apartments,telecommunications
completed,0,Colony House Condominiums,Atlanta,Georgia,33.78799057,-84.38214874,FALSE,TRUE,1973,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2416,FALSE,TRUE,FALSE,FALSE,FALSE
completed,33.2,My Micro NY,New York City,New York,40.73986816,-73.97737885,FALSE,TRUE,2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2421,FALSE,TRUE,TRUE,FALSE,FALSE
completed,35.97000122,Knights of Columbus Building,Gary,Indiana,41.60179901,-87.34179688,FALSE,TRUE,1926,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2347,FALSE,TRUE,FALSE,FALSE,FALSE
completed,43,Genesis Towers,Gary,Indiana,41.60052872,-87.33756256,FALSE,TRUE,1926,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2344,FALSE,TRUE,FALSE,FALSE,FALSE
completed,43.27999878,504 Broadway,Gary,Indiana,41.60186005,-87.33760071,FALSE,TRUE,1927,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2343,FALSE,FALSE,FALSE,FALSE,FALSE
completed,43.88999939,"Grange Mutual Insurance Headquarters, South Building",Columbus,Ohio,39.9486618,-82.99923706,FALSE,TRUE,2010,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2342,FALSE,FALSE,FALSE,FALSE,FALSE
completed,44.5,Hilliard Senior Homes I,Chicago,Illinois,41.85337067,-87.62821198,FALSE,TRUE,1966,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2340,FALSE,TRUE,FALSE,FALSE,FALSE
completed,44.5,Hilliard Senior Homes II,Chicago,Illinois,41.85383987,-87.62895203,FALSE,TRUE,1966,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2340,FALSE,TRUE,FALSE,FALSE,FALSE
completed,44.81000137,Wainwright Building,St. Louis,Missouri,38.62705994,-90.19210052,FALSE,TRUE,1892,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2339,FALSE,FALSE,FALSE,FALSE,FALSE
completed,45.183552,United States Courthouse ?Salt Lake City,Salt Lake City,Utah,40.76829147,-111.9011917,FALSE,TRUE,2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2421,FALSE,FALSE,FALSE,FALSE,FALSE
completed,46,Meridian Plaza I,Sacramento,California,38.57683182,-121.4882889,FALSE,TRUE,2003,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2337,FALSE,FALSE,FALSE,FALSE,FALSE
completed,47.244,Ohio Public Employees Retirement System,Columbus,Ohio,39.95930862,-82.99230957,FALSE,TRUE,2004,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2420,FALSE,FALSE,FALSE,FALSE,FALSE
completed,47.40000153,"GEMS World Academy - Chicago, Lower School",Chicago,Illinois,41.88668823,-87.61884308,FALSE,TRUE,2014,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2336,FALSE,FALSE,FALSE,FALSE,FALSE
completed,47.90000153,Ohio State House,Columbus,Ohio,39.96131897,-82.99907684,FALSE,TRUE,1861,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2335,FALSE,FALSE,FALSE,FALSE,FALSE
completed,48.20000076,FlatironCity,Atlanta,Georgia,33.75590134,-84.38892365,FALSE,TRUE,1897,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2334,FALSE,FALSE,FALSE,FALSE,FALSE
completed,49.06999969,Social and Behavioral Science Tower,Salt Lake City,Utah,40.76137924,-111.8463593,FALSE,TRUE,1971,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2333,FALSE,FALSE,FALSE,FALSE,FALSE
completed,49.38000107,Bayard-Condict Building,New York City,New York,40.72637177,-73.99506378,FALSE,TRUE,1899,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2332,FALSE,FALSE,FALSE,FALSE,FALSE
completed,50,Boston Building,Salt Lake City,Utah,40.76163101,-111.8906403,FALSE,TRUE,1910,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2331,FALSE,FALSE,FALSE,FALSE,FALSE
completed,51,Guaranty Building,Buffalo,New York,42.8830719,-78.87677002,FALSE,TRUE,1896,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2329,FALSE,FALSE,FALSE,FALSE,FALSE
completed,51.09999847,Reva and David Logan Center for Arts,Chicago,Illinois,41.78553009,-87.60350037,FALSE,TRUE,2012,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2328,FALSE,FALSE,FALSE,FALSE,FALSE
completed,52.36000061,172 Montague Street,New York City,New York,40.6939888,-73.99217224,FALSE,TRUE,2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2327,FALSE,TRUE,FALSE,FALSE,FALSE
completed,52.38999939,City Hyde Park,Chicago,Illinois,41.80194092,-87.58805847,FALSE,TRUE,2016,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2326,FALSE,TRUE,TRUE,FALSE,FALSE
completed,52.75,Franklin Towers,Portland (ME),Maine,43.66156006,-70.25608063,FALSE,TRUE,1969,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2325,FALSE,TRUE,FALSE,FALSE,FALSE
completed,53.29999924,River Towers A,Minneapolis,Minnesota,44.98310852,-93.26661682,FALSE,TRUE,1966,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2324,FALSE,TRUE,FALSE,FALSE,FALSE
completed,53.34999847,Spertus Institute of Jewish Studies,Chicago,Illinois,41.87398911,-87.62467194,FALSE,TRUE,2007,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2323,FALSE,FALSE,FALSE,FALSE,FALSE
completed,53.63999939,The Element,Dallas,Texas,32.78105164,-96.79606628,FALSE,TRUE,2008,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2322,FALSE,TRUE,FALSE,FALSE,FALSE
completed,53.66999817,HL23,New York City,New York,40.74819183,-74.0047226,FALSE,TRUE,2011,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2321,FALSE,TRUE,FALSE,FALSE,FALSE
completed,53.95000076,"Grange Mutual Insurance Headquarters, North Building",Columbus,Ohio,39.9486618,-82.99923706,FALSE,TRUE,1978,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2320,FALSE,FALSE,FALSE,FALSE,FALSE
completed,54.29999924,Enquirer Building,Cincinnati,Ohio,39.10290146,-84.51384735,FALSE,TRUE,1928,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2319,FALSE,FALSE,FALSE,FALSE,FALSE
completed,54.59999847,Ameristar East Chicago Hotel,East Chicago,Illinois,41.65243912,-87.43615723,FALSE,TRUE,2001,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,15,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2318,FALSE,FALSE,FALSE,FALSE,FALSE
completed,55.02000046,The Rookery,Chicago,Illinois,41.87902832,-87.63191223,FALSE,TRUE,1888,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2316,FALSE,FALSE,FALSE,FALSE,FALSE
completed,55.16999817,Blue Residential Tower,New York City,New York,40.71883011,-73.98738098,FALSE,TRUE,2007,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2314,FALSE,TRUE,FALSE,FALSE,FALSE
completed,55.16999817,"Hilton Milwaukee City Center, West Building",Milwaukee,Wisconsin,43.03853989,-87.91847992,FALSE,TRUE,2000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2315,FALSE,FALSE,FALSE,FALSE,FALSE
completed,55.56000137,The Godfrey,Chicago,Illinois,41.89461136,-87.63213348,FALSE,TRUE,2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2313,FALSE,FALSE,FALSE,FALSE,FALSE
completed,56.40000153,Luhrs Tower,Phoenix,Arizona,33.44694138,-112.0747986,FALSE,TRUE,1929,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2312,FALSE,FALSE,FALSE,FALSE,FALSE
