#,Building Name,City,Country,Height,Completed,Use
1,Ostankino Tower,Moscow ,Russia,540,1967,telecommunications / observation
1,Kiev TV Tower,Kiev ,Ukraine,385,1974,telecommunications / observation
2,Federation Tower,Moscow ,Russia,373.7,2016,residential / office
1,Riga TV Tower,Riga ,Latvia,368,1987,telecommunications / observation
3,OKO - Residential Tower,Moscow ,Russia,353.6,2015,residential / serviced apartments / hotel
4,Mercury City Tower,Moscow ,Russia,338.8,2013,residential / office
1,Vilnius TV Tower,Vilnius ,Lithuania,326.5,1980,telecommunications / observation
1,Tallinn TV Tower,Tallinn ,Estonia,312.3,1980,telecommunications / observation
5,St. Petersburg TV Tower,St. Petersburg ,Russia,310,1966,observation
6,Stalnaya Vershina,Moscow ,Russia,308.9,2015,residential / hotel / office
7,Capital City Moscow Tower,Moscow ,Russia,301.8,2010,residential
8,Naberezhnaya Tower Block C,Moscow ,Russia,268.4,2007,office
9,Triumph Palace,Moscow ,Russia,264.1,2005,hotel / residential
10,Broadcasting Tower,Novorossiysk ,Russia,261,1996,telecommunications
11,Octode TV Tower,Moscow ,Russia,258,2006,telecommunications
12,Capital City St. Petersburg Tower,Moscow ,Russia,257.2,2010,residential
13,Evolution Tower,Moscow ,Russia,246,2015,office
14,Federation Tower - Zapad Tower,Moscow ,Russia,242.5,2008,residential / office
15,MV Lomonosov State University,Moscow ,Russia,239,1953,education
16,Imperia Tower,Moscow ,Russia,238.7,2011,residential / hotel / office
17,OKO - Office Tower,Moscow ,Russia,224.5,2015,office
18,House on Mosfilmovskaya Tower A,Moscow ,Russia,213.3,2012,residential
19,Iset Tower,Yekaterinburg ,Russia,209,2015,residential
20,Radisson Royal Hotel,Moscow ,Russia,206,1955,hotel
21,Tricolour 1,Moscow ,Russia,194,2014,residential
22,Continental,Moscow ,Russia,191,2011,residential
23,Tricolour 2,Moscow ,Russia,190,2015,residential
24,Vysotsky Business Center,Yekaterinburg ,Russia,188.3,2011,hotel / office
25,Vorobiovy Gory Tower II,Moscow ,Russia,178,2004,residential
26,IQ-Quarter Tower 2,Moscow ,Russia,177.5,2016,office
27,Edelweiss,Moscow ,Russia,176,2003,residential
28,Kotelnicheskaya Naberezhnaya,Moscow ,Russia,176,1952,residential
29,Alye Parusa 4,Moscow ,Russia,175.6,2003,residential
30,Ministry of Foreign Affairs,Moscow ,Russia,172,1953,office
31,Nordstar Tower,Moscow ,Russia,171.5,2009,office
32,Mirax Plaza - Tower B,Moscow ,Russia,168,2015,office
33,Swissotel Krasnye Holmy,Moscow ,Russia,166.5,2005,hotel
34,Zagorye Quarter Tower,Moscow ,Russia,165,2013,residential
2,Klovski Descent 7A,Kiev ,Ukraine,162.6,2011,residential
35,Wellhouse na Leninskom,Moscow ,Russia,162,2009,residential
36,Vorobiovy Gory Tower I,Moscow ,Russia,161,2004,residential
36,Vorobiovy Gory Tower III,Moscow ,Russia,161,2004,residential
38,Shabolovka Radio Tower,Moscow ,Russia,160,1922,telecommunications
39,Kudrinskaya Square,Moscow ,Russia,156,1954,residential
40,Avenue 77 Block 1,Moscow ,Russia,155,2009,residential
40,Avenue 77 Block 2,Moscow ,Russia,155,2009,residential
40,Avenue 77 Block 3,Moscow ,Russia,155,2009,residential
43,Bastion,Moscow ,Russia,153,2012,residential / retail
45,Gazprom,Moscow ,Russia,151,1994,office
44,Sverdlovsk,Yekaterinburg ,Russia,151,2015,office / retail
46,House in Sokolniki,Moscow ,Russia,147,2008,residential / retail
47,Phoenix,Groznyj ,Russia,145,2012,residential
48,Dolina Setun Tower B,Moscow ,Russia,144.9,2016,residential / retail
49,PFC CSKA Stadium Tower,Moscow ,Russia,142,2016,hotel / office
3,Gulliver,Kiev ,Ukraine,141.2,2012,office
50,IQ-Quarter Tower 1,Moscow ,Russia,141,2015,office
51,Domnikov,Moscow ,Russia,141,2009,office
52,Leader Tower,St. Petersburg ,Russia,140,2012,office
52,Nord Park A,Moscow ,Russia,140,2010,residential
54,Izmailovsky 1,Moscow ,Russia,140,2010,residential
54,Izmailovsky 2,Moscow ,Russia,140,2010,residential
56,February Revolution,Yekaterinburg ,Russia,138.8,2010,residential
57,ART 1,Krasnogorsk ,Russia,138.6,2014,residential
57,ART 2,Krasnogorsk ,Russia,138.6,2014,residential
57,ART 3,Krasnogorsk ,Russia,138.6,2014,residential
61,Central Tourist House,Moscow ,Russia,138,1980,office
60,Villange,Moscow ,Russia,138,2009,residential
62,Red Gate Square,Moscow ,Russia,138,1953,residential / office
63,Hilton Moscow Leningradskaya,Moscow ,Russia,136,1954,hotel
4,Parus Business Center,Kiev ,Ukraine,136,2008,office
64,House on Begovaya 1,Moscow ,Russia,135.6,2008,residential
64,House on Begovaya 2,Moscow ,Russia,135.6,2008,residential
66,Sokolinaya Gora,Moscow ,Russia,135.2,2008,office
68,Elena,Saratov ,Russia,135,2014,residential
67,Dolina Setun Tower A,Moscow ,Russia,135,2016,residential / retail
69,Monarch Center,Moscow ,Russia,134,2009,hotel / office
1,Parus,Minsk ,Belarus,133,2014,residential / office
70,ART 4,Krasnogorsk ,Russia,132.5,2014,residential
71,House on Mosfilmovskaya Tower C,Moscow ,Russia,132.5,2009,residential
73,NII Delta Business Center,Moscow ,Russia,132,1982,office
72,Rublyovka Lights,Moscow ,Russia,132,2013,residential
74,North Tower,Moscow ,Russia,131.8,2008,office
2,Z-tornis A,Riga ,Latvia,130,2016,hotel / office
2,Royal Plaza,Minsk ,Belarus,130,2014,office
76,Demidov Plaza,Yekaterinburg ,Russia,130,2015,office / retail
75,Yantarnyi Gorod 2,Moscow ,Russia,130,2008,residential
2,Europa Tower,Vilnius ,Lithuania,129,2004,office
77,Olympia Tower 2,Moscow ,Russia,129,2004,residential
79,World Trade Center Tower 3,Moscow ,Russia,128,2009,office
5,1 Sribnokilska,Kiev ,Ukraine,128,2008,residential
5,Crown,Kiev ,Ukraine,128,2007,residential
78,Olimpiiskii 1,Yekaterinburg ,Russia,128,2016,residential / retail
7,Kiev Court of Appeals,Kiev ,Ukraine,127,2006,government
80,Naberezhnaya Tower Block B,Moscow ,Russia,127,2006,office
81,Winter Tower,Moscow ,Russia,126,2008,residential
82,Two Captains 1,Moscow ,Russia,125,2002,residential / retail
83,Two Captains 2,Moscow ,Russia,125,2002,residential / retail
84,Knyaz Aleksandr Nevskii,St. Petersburg ,Russia,124,2012,residential
85,Aerobus 1,Moscow ,Russia,123,2006,residential
85,Aerobus 2,Moscow ,Russia,123,2008,residential
87,Elena,Moscow ,Russia,123,2008,residential
88,Emerald Tower B,Moscow ,Russia,123,2015,residential
8,Bashnia East Tower,Dnipropetrovsk ,Ukraine,123,2005,residential
8,Bashnia West Tower,Dnipropetrovsk ,Ukraine,123,2003,residential
89,VDNkh Tower,Moscow ,Russia,122.7,2007,residential
10,Prospect Heroiv Stalingradu 2,Kiev ,Ukraine,122.3,2013,residential
90,Alye Parusa 1,Moscow ,Russia,122,2001,residential
90,Alye Parusa 2,Moscow ,Russia,122,2001,residential
90,Alye Parusa 3,Moscow ,Russia,122,2001,residential
90,Alye Parusa 5,Moscow ,Russia,122,2003,residential
94,Ladya 2,Samara ,Russia,122,2006,residential
94,Ladya 3,Samara ,Russia,122,2008,residential
96,House on Begovaya 3,Moscow ,Russia,121.8,2011,residential / retail
97,Lazurnye Nebesa,Kazan ,Russia,121.7,2013,residential
3,Swedbank Central Office,Riga ,Latvia,120.8,2004,office
98,Academy of Sciences,Moscow ,Russia,120.1,1989,education
101,Hotel Grozny-City,Groznyj ,Russia,120,2011,hotel
102,Oruzheyniy,Moscow ,Russia,120,2014,office
99,Autumn Tower,Moscow ,Russia,120,2008,residential
100,Gazoil City 1,Moscow ,Russia,120,2012,residential
11,Silver Breeze 1,Kiev ,Ukraine,119.2,2010,residential
11,Silver Breeze 2,Kiev ,Ukraine,119.2,2010,residential
11,Silver Breeze 3,Kiev ,Ukraine,119.2,2010,residential
103,Government of Russia Building,Moscow ,Russia,119,1980,government
104,Crystal,Moscow ,Russia,118.8,2015,residential
105,Pervaya Bashnya,Krasnoyarsk ,Russia,118,2009,office
105,Alye Parusa 6,Moscow ,Russia,118,2003,residential
107,Levoberezhny 8a-8b,Moscow ,Russia,118,2016,residential
2,Swissotel Tallinn,Tallinn ,Estonia,117,2007,hotel
108,Tricolour 3,Moscow ,Russia,117,2015,residential
109,Novye Cheryomushki 10A k8,Moscow ,Russia,116.4,2016,residential
109,Novye Cheryomushki 10B k8,Moscow ,Russia,116.4,2016,residential
109,Novye Cheryomushki 10C k8,Moscow ,Russia,116.4,2016,residential
112,House In a Pine Grove,Moscow ,Russia,116.4,2010,residential
14,101 Tower,Kiev ,Ukraine,116.1,2012,office
113,Teplichniy 4,Moscow ,Russia,116.1,2002,residential
115,Volgograd-City,Volgograd ,Russia,116,2010,office
114,Sun,Moscow ,Russia,116,2012,residential
115,Actor Galaxy,Sochi ,Russia,116,2014,residential
117,Astrum Spa & Conference Hotel,Shchyolkovo ,Russia,115,2015,hotel
117,Preo 8,Moscow ,Russia,115,2011,office
120,Rostec,Moscow ,Russia,115,1999,office
120,SRI Kontur,Moscow ,Russia,115,1985,office
120,SRI Priboi,Moscow ,Russia,115,1990,office
119,Star Tower,Moscow ,Russia,115,2011,residential
123,Lenin Avenue 116-1,Moscow ,Russia,114.6,2001,residential
124,11 Building 1 1st Nagatinsky Drive,Moscow ,Russia,114.3,2010,residential
124,11 Building 2 1st Nagatinsky Drive,Moscow ,Russia,114.3,2010,residential
124,11 Building 3 1st Nagatinsky Drive,Moscow ,Russia,114.3,2010,residential
127,Manhattan 2,Chelyabinsk ,Russia,114.3,2015,residential
128,Summer Tower,Moscow ,Russia,114.1,2007,residential
4,Panorama Plaza II,Riga ,Latvia,113.9,2007,residential
129,Alye Parusa 8,Moscow ,Russia,113.9,2015,residential
130,Na Vilonovskoi,Samara ,Russia,113,2014,residential
3,Tornimae,Tallinn ,Estonia,113,2006,residential / office
133,Profico,Moscow ,Russia,112,2007,office
131,Izmailovsky 3,Moscow ,Russia,112,2010,residential
131,Izmailovsky 4,Moscow ,Russia,112,2010,residential
134,Nord Park B,Moscow ,Russia,111.9,2010,residential
3,Pilsotas,Klaipeda ,Lithuania,111.8,2007,residential
135,Alye Parusa 7,Moscow ,Russia,111.4,2015,residential
140,Paveletskaya Tower,Moscow ,Russia,111,2003,office
141,Chelyabinsk-City,Chelyabinsk ,Russia,111,2007,office / retail
136,Grand Park 1,Moscow ,Russia,111,2007,residential
136,Grand Park 2,Moscow ,Russia,111,2007,residential
136,Grand Park 3,Moscow ,Russia,111,2007,residential
136,Grand Park 4,Moscow ,Russia,111,2007,residential
142,"Lenin Avenue, 98-1",Moscow ,Russia,110.9,2002,residential
143,Malevich 2,Yekaterinburg ,Russia,110.8,2015,residential
144,Volga Sails A,Volgograd ,Russia,110,2008,residential
145,Kutuzovskaya Riviera Tower 1,Moscow ,Russia,110,2008,residential
145,Kutuzovskaya Riviera Tower 2,Moscow ,Russia,110,2008,residential
145,Kutuzovskaya Riviera Tower 3,Moscow ,Russia,110,2008,residential
